BootArgs: Version=2, Revision=0, at 0xffffff8017158000
CommandLine: 
Video: baseAddr=0xa0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x1715c000, length=0x13b0
Kernel image: kaddr=0x14500000, ksize=0x2d26000
EFI Runtime: Mode=64, PageStart=0x1715e (0x1715e000), PageCount=0xc4, SystemTable=0x171b3e10
MemoryMap: Size=0x3060, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_data    000000008bbd2000 - 000000008bbd2fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bbd3000 - 000000008bbd4fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bbd5000 - 000000008bbd8fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bbd9000 - 000000008bbd9fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bbda000 - 000000008bbdbfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bbdc000 - 000000008bbdefff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008bbdf000 - 000000008bbdffff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bbe0000 - 000000008bbe1fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bbe2000 - 000000008bbe9fff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000008bbea000 - 000000008bbebfff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bbec000 - 000000008bbeefff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bbef000 - 000000008bbf2fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008bbf3000 - 000000008bbf7fff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008bbf8000 - 000000008bbf8fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bbf9000 - 000000008bbfdfff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008bbfe000 - 000000008bbfffff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bc00000 - 000000008bc03fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bc04000 - 000000008bc04fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bc05000 - 000000008bc06fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bcd1000 - 000000008bcd2fff 0000000000000002 0000000000000000 000000000000000f
