Num: b0=0 b1=0 b2=2 b3=31 size=4
  F0Mx  [fpe2]  6500 (bytes 65 90)
  F0Tg  [fpe2]  1200 (bytes 12 c0)
  FNum  [ui8 ]  1 (bytes 01)
  FPDc  [fp79]  (bytes 20 d0)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  10 (bytes 0a)
  HC0T  [ui8 ]  16 (bytes 10)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 08 77 08 77)
  HI0N  [ui8 ]  14 (bytes 0e)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  19 (bytes 13)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IAPC  [sp5a]  (bytes 00 60)
  IBAC  [sp78]  (bytes 00 00)
  IBLC  [sp5a]  (bytes 00 28)
  IC0R  [sp5a]  (bytes 08 fe)
  IC1C  [sp5a]  (bytes 00 08)
  ICS0  [sp78]  (bytes 09 d2)
  ICS1  [sp78]  (bytes 00 6c)
  ID0R  [sp5a]  (bytes 07 4a)
  ILDC  [sp5a]  (bytes 00 01)
  IM0C  [sp5a]  (bytes 03 96)
  IM3C  [sp5a]  (bytes 03 f2)
  IO0R  [sp5a]  (bytes 08 bc)
  IPB1  [sp5a]  (bytes 00 04)
  IPBF  [sp78]  (bytes 00 33)
  IPBR  [sp5a]  (bytes 00 ce)
  IPBT  [flt ]  (bytes 06 67 f6 40)
  IR0C  [sp5a]  (bytes 00 30)
  IR5C  [sp5a]  (bytes 00 31)
  IS2C  [sp5a]  (bytes 00 01)
  ISDC  [sp5a]  (bytes 01 d8)
  KDD0  [hex_]  (bytes 0b 61 3f ae b7 fc 3f 93 e3 e0 0a d7 ed 00 e3 35 81 cd 32 8d 04 f2 ba 1c 29 40 b2 c5 7c 08 e4 6e)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 cf 07 00 00 00 00 6a 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 e2 36 00 00)
  KDFT  [ui8 ]  5 (bytes 05)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  12 (bytes a8 0c)
  LC2E  [ui16]  12 (bytes a8 0c)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  225 (bytes e1)
  LCCQ  [ui8 ]  32 (bytes 20)
  LCKA  [ui8 ]  2 (bytes 02)
  LCKN  [ui8 ]  164 (bytes a4)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  224 (bytes e0)
  LCTN  [ui8 ]  247 (bytes f7)
  LCTQ  [ui8 ]  60 (bytes 3c)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  15 (bytes 00 00 39 0f)
  LKSB  [{lkb]  (bytes 00 00)
  LKSS  [{lks]  (bytes 00 00)
  LPMC  [ui32]  199 (bytes 00 4a ff c7)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAj  [fp88]  (bytes 00 00)
  MSBC  [ui16]  0 (bytes 00 00)
  MSBP  [ui16]  0 (bytes 00 00)
  MSBc  [ui16]  50 (bytes 15 32)
  MSBp  [ui16]  0 (bytes 00 00)
  MSC0  [ui32]  64 (bytes 00 5c a6 40)
  MSDW  [flag]  (bytes 00)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSFW  [flag]  (bytes 00)
